## type:rectangular
## dim:770.0, 300.0
-132.73365307	300.0	153.0
172.981616627	-300.0	27.0
385.0	116.109506568	-27.0
291.303113676	300.0	-153.0
-14.4121560205	-300.0	-27.0
-320.127425717	300.0	-153.0
-385.0	172.680404193	153.0
-144.157304586	-300.0	27.0
161.55796511	300.0	153.0
385.0	-138.529685046	-153.0
302.726765193	-300.0	-27.0
-2.98850450375	300.0	-153.0
-308.7037742	-300.0	-27.0
-385.0	-150.260225715	27.0
-155.580956103	300.0	153.0
150.134313594	-300.0	27.0
385.0	160.949863524	-27.0
314.15041671	300.0	-153.0
8.43514701296	-300.0	-27.0
-297.280122684	300.0	-153.0
-385.0	127.840047237	153.0
-167.00460762	-300.0	27.0
138.710662077	300.0	153.0
385.0	-183.370042002	-153.0
325.574068226	-300.0	-27.0
19.8587985297	300.0	-153.0
-285.856471167	-300.0	-27.0
-385.0	-105.419868759	27.0
-178.428259136	300.0	153.0
127.28701056	-300.0	27.0
385.0	205.790220479	-27.0
336.997719743	300.0	-153.0
31.2824500464	-300.0	-27.0
-274.43281965	300.0	-153.0
-385.0	82.9996902815	153.0
-189.851910653	-300.0	27.0
115.863359044	300.0	153.0
385.0	-228.210398957	-153.0
348.42137126	-300.0	-27.0
42.7061015631	300.0	-153.0
-263.009168134	-300.0	-27.0
